Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,326.950012,340.359985,325.019989,340.000000,337.471863,6414400
2021-11-26,321.579987,326.869995,319.000000,324.170013,321.759521,6613900
2021-11-29,330.010010,331.820007,318.250000,323.010010,320.608185,6362200
2021-11-30,318.000000,320.760010,310.109985,314.920013,312.578308,10237600
2021-12-01,320.779999,322.019989,306.000000,306.279999,304.002594,8008800
2021-12-02,309.589996,322.200012,308.989990,320.200012,317.819061,6717600
2021-12-03,320.239990,322.690002,314.000000,322.109985,319.714874,4732900
2021-12-06,324.750000,336.760010,322.000000,333.329987,330.851410,6055000
2021-12-07,337.299988,342.420013,337.299988,339.510010,336.985474,4939500
2021-12-08,339.230011,344.029999,334.100006,342.339996,339.794434,4226900
2021-12-09,340.049988,346.529999,339.010010,344.519989,341.958221,3389600
2021-12-10,347.000000,350.250000,344.829987,349.920013,347.318085,3405900
2021-12-13,349.190002,349.529999,340.329987,345.309998,342.742310,4358300
2021-12-14,345.320007,348.209991,337.859985,340.549988,338.017761,4518500
2021-12-15,340.000000,346.589996,335.529999,346.350006,343.774597,4918700
2021-12-16,351.700012,353.769989,345.119995,352.920013,350.295807,5369900
2021-12-17,349.190002,352.790009,344.119995,349.309998,346.712585,5898200
2021-12-20,341.239990,343.529999,336.230011,337.019989,334.514008,5013900
2021-12-21,340.329987,352.000000,339.369995,350.739990,348.131958,3105100
2021-12-22,346.579987,358.619995,346.579987,357.480011,354.821869,3456400
2021-12-23,357.540009,362.470001,355.000000,360.579987,357.898743,2627000
2021-12-27,360.000000,361.079987,355.600006,360.309998,357.630798,2677100
2021-12-28,358.790009,364.140015,358.410004,360.779999,358.097321,1920100
2021-12-29,361.779999,363.149994,360.190002,361.290009,358.603546,1535200
2021-12-30,362.000000,364.649994,359.109985,360.989990,358.305756,1558000
2021-12-31,357.950012,363.380005,356.779999,359.320007,356.648193,1984000
